# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
4,	4.2147
4,	7.1823
0,	10.1170
4,	13.0540
6,	16.0443
2,	19.0000
6,	21.9900
2,	24.9830
4,	27.9763
8,	30.9697
6,	33.9520
8,	36.9453
6,	39.9100
4,	42.8607
0,	45.8507
4,	48.8287
2,	51.8217
8,	54.7863
4,	57.7543
8,	60.7187
0,	63.6933
8,	66.6617
2,	69.6517
2,	72.6310
8,	75.6100
6,	78.5747
6,	81.5393
8,	84.5293
6,	87.5217
0,	90.4903
8,	93.4823
0,	96.4753
0,	99.4433
0,	102.4033
0,	105.3710
0,	108.3367
4,	111.3270
6,	114.2953
8,	117.2863
2,	120.2783
4,	123.2717
4,	126.2620
6,	129.2117
2,	132.2020
2,	135.1693
2,	138.1627
6,	141.1560
0,	144.0733
2,	147.0633
8,	150.0533
